Country,Total_Cases,Total_Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Uganda,124736,3177.0,96289.0,25270.0,2622,67.0,1728303.0,36326.0,47577154
UK,8193769,137763.0,6686695.0,1369311.0,119895,2016.0,314239784.0,4598108.0,68341111
Ukraine,2562085,59052.0,2297899.0,205134.0,59037,1361.0,13323492.0,307006.0,43398083
Uruguay,390115,6064.0,382736.0,1315.0,111810,1738.0,3659251.0,1048767.0,3489097
USA,45313353,734611.0,34797165.0,9781577.0,135880,2203.0,659963506.0,1979022.0,333479557
Uzbekistan,178986,1273.0,174642.0,3071.0,5251,37.0,1377915.0,40423.0,34087461
Venezuela,384668,4634.0,364455.0,15579.0,13577,164.0,3359014.0,118555.0,28333033
Vietnam,843281,20670.0,784748.0,37863.0,8565,210.0,42517091.0,431840.0,98455768
Yemen,9402,1782.0,5930.0,1690.0,307,58.0,265253.0,8651.0,30662242
Zambia,209353,3654.0,205508.0,191.0,10996,192.0,2509600.0,131815.0,19038767
Zimbabwe,131875,4643.0,125479.0,1753.0,8711,307.0,1439811.0,95108.0,15138697
